time(ms), left_angle(rad), right_angle(rad), theta(rad), x(m), y(m)
25,0.00448799,0.00448799,0,0.00010097978,0
45,0.00448799,0.01795196,0.0029411586,0.00025244924,0.00000022178463
65,0.01795196,0.03141593,0.0029411586,0.00055538764,0.0000009642778
85,0.0448799,0.053855877,0.0019607726,0.001110775,0.0000021779802
105,0.07180784,0.080783814,0.0019607726,0.0017166525,0.0000033659696
125,0.107711755,0.11668773,0.0019607726,0.002524489,0.0000049499554
145,0.14810365,0.16605562,0.003921547,0.003534282,0.000007965572
165,0.20195954,0.22439949,0.00490193,0.0047965157,0.000013878634
185,0.2692794,0.2962073,0.0058823167,0.006361677,0.000022711372
205,0.3455752,0.36801517,0.00490193,0.008027817,0.00003209477
225,0.435335,0.45777494,0.00490193,0.010047388,0.000041994645
245,0.5340708,0.55651075,0.00490193,0.012268917,0.000052884512
265,0.63280654,0.6552465,0.00490193,0.014490445,0.00006377437
285,0.74051833,0.75847024,0.0039215307,0.016863443,0.000074841926
305,0.85720605,0.87067,0.0029411572,0.019438405,0.00008556373
325,0.98286974,0.9963337,0.0029411572,0.022265825,0.00009387965
345,1.1085335,1.1175095,0.0019607707,0.02504276,0.00010138404
365,1.2431731,1.2476611,0.0009803842,0.028021658,0.000106512816
385,1.3867888,1.3823009,-0.0009803888,0.03115203,0.000106524756
405,1.5259165,1.5169405,-0.0019607753,0.034231912,0.000102744
425,1.6740202,1.6605562,-0.0029411619,0.037513744,0.000093914685
445,1.8266118,1.8041719,-0.004901909,0.040846046,0.000080859514
465,1.9836915,1.9567635,-0.0058822953,0.044329803,0.000062922816
485,2.1407712,2.1093552,-0.006862682,0.047813546,0.00004157069
505,2.2978508,2.261947,-0.007843068,0.051297262,0.000016803167
525,2.4639063,2.4280024,-0.007843068,0.055033393,-0.000012500176
545,2.629962,2.585082,-0.009803841,0.05866851,-0.00004634346
565,2.8094816,2.7601137,-0.010784227,0.06265699,-0.000088434885
585,2.9710493,2.9127054,-0.012745,0.06619104,-0.00013009903
605,3.1415927,3.0787609,-0.013725387,0.06997743,-0.00018114905
625,3.3166244,3.2493045,-0.014705773,0.07386474,-0.00023734629
645,3.487168,3.4153602,-0.01568616,0.07765106,-0.00029393978
665,3.6621995,3.5903919,-0.015686108,0.08158881,-0.00035378244
685,3.8372312,3.7609353,-0.016666494,0.08547603,-0.00041572074
705,4.007775,3.931479,-0.016666494,0.08931274,-0.000479671
725,4.1872945,4.1065106,-0.01764688,0.093300834,-0.0005490828
745,4.357838,4.2770543,-0.01764688,0.097137466,-0.0006167945
765,4.537358,4.456574,-0.01764688,0.10117602,-0.0006880699
785,4.716877,4.6271176,-0.01960755,0.10511355,-0.0007614087
805,4.8874207,4.802149,-0.018627267,0.10900058,-0.00083479437
825,5.0714283,4.9816685,-0.019607654,0.113089494,-0.0009139558
845,5.24646,5.1567,-0.019607654,0.11702699,-0.0009892398
865,5.4259796,5.33622,-0.019607654,0.121065415,-0.0010684339
885,5.6010113,5.5112514,-0.019607654,0.12500288,-0.0011456481
905,5.780531,5.690771,-0.019607654,0.1290413,-0.0012248422
925,5.9600506,5.8702908,-0.019607654,0.13307972,-0.0013040362
945,6.135082,6.045322,-0.019607654,0.13701716,-0.0013812502
965,6.3146014,6.2248416,-0.019607654,0.14105558,-0.0014604443
985,6.494121,6.3998733,-0.02058804,0.1450435,-0.0015396059
1005,6.6691527,6.579393,-0.019607654,0.14903142,-0.0016187826
1025,6.8531604,6.7589126,-0.02058804,0.1531203,-0.001699924
1045,7.028192,6.933944,-0.02058804,0.1570577,-0.0017790683
1065,7.2077117,7.117952,-0.019607654,0.16114654,-0.0018622542
1085,7.382743,7.292983,-0.019607654,0.16508397,-0.0019394682
1105,7.5622625,7.4680147,-0.02058804,0.16907185,-0.0020206096
1125,7.741782,7.6475344,-0.02058804,0.17311016,-0.0021057418
1145,7.921302,7.822566,-0.021568427,0.17709795,-0.0021907927
1165,8.1008215,7.9975977,-0.022548813,0.1810857,-0.0022776753
1185,8.280341,8.177117,-0.022548813,0.18512386,-0.0023687466
1205,8.455373,8.352149,-0.022548813,0.18906106,-0.002457541
1225,8.63938,8.531669,-0.0235292,0.19314967,-0.002550757
1245,8.809924,8.7067,-0.022548813,0.19703639,-0.0026393856
1265,8.993932,8.881732,-0.024509586,0.2010744,-0.0027363799
1285,9.182427,9.070228,-0.024509586,0.20531428,-0.0028403183
1305,9.348482,9.231795,-0.025489764,0.20899889,-0.0029316032
1325,9.528002,9.411314,-0.025489764,0.21303676,-0.00303455
1345,9.707521,9.581858,-0.027450537,0.21697359,-0.0031387678
1365,9.887041,9.761377,-0.027450537,0.22101127,-0.003249632
1385,10.066561,9.936409,-0.028430924,0.22499844,-0.0033600677
1405,10.241592,10.111441,-0.028430924,0.22893506,-0.0034720195
1425,10.4256,10.29096,-0.02941131,0.233023,-0.003591263
1445,10.596144,10.461504,-0.02941131,0.23685856,-0.0037041048
1465,10.780151,10.641024,-0.030391697,0.24094644,-0.0038253767
1485,10.968647,10.825031,-0.031372085,0.24513507,-0.0039558527
1505,11.130215,10.986599,-0.031372085,0.24876855,-0.00406988
1525,11.309734,11.166119,-0.031372085,0.25280577,-0.0041965772
1545,11.484766,11.336662,-0.03235247,0.2566915,-0.0043213605
1565,11.664286,11.516182,-0.03235247,0.26072857,-0.0044520157
1585,11.843805,11.691214,-0.033332855,0.26471516,-0.0045819953
1605,12.018836,11.866245,-0.033332646,0.26865125,-0.004711313
1625,12.198356,12.045764,-0.033332855,0.27268827,-0.004843947
1645,12.373387,12.220796,-0.033332855,0.2766243,-0.0049751946
1665,12.552907,12.400315,-0.033332855,0.28066126,-0.005109807
1685,12.732427,12.579835,-0.033332855,0.28469822,-0.0052444194
1705,12.907458,12.754867,-0.033332855,0.28863424,-0.005375667
1725,13.086978,12.934386,-0.033332855,0.2926712,-0.0055102794
1745,13.26201,13.10493,-0.03431324,0.29655674,-0.005640802
1765,13.441529,13.288938,-0.033332855,0.30064407,-0.0057800985
1785,13.621049,13.463969,-0.03431324,0.30463055,-0.005913986
1805,13.805057,13.647977,-0.03431324,0.30876827,-0.006056021
1825,13.980088,13.814033,-0.03627401,0.31260312,-0.006191457
1845,14.150632,13.989064,-0.035293624,0.3164884,-0.006329613
1865,14.33464,14.168584,-0.03627401,0.32057548,-0.0064749285
1885,14.509671,14.343616,-0.03627401,0.3245111,-0.006617752
1905,14.68919,14.518647,-0.03725419,0.32849705,-0.006765342
1925,14.86871,14.693678,-0.038234577,0.33248293,-0.0069148596
1945,15.043741,14.86871,-0.038234577,0.33641827,-0.0070653986
1965,15.223261,15.048229,-0.038234577,0.34045452,-0.007219798
1985,15.398293,15.223261,-0.038234577,0.34438986,-0.0073703374
2005,15.577812,15.402781,-0.038234577,0.348426,-0.007526715
2025,15.757332,15.5823,-0.038234577,0.35246226,-0.007681114
2045,15.9323635,15.752844,-0.03921496,0.3563471,-0.007830681
2065,16.111883,15.9368515,-0.038234577,0.36043376,-0.007987982
2085,16.286915,16.111883,-0.038234577,0.3643691,-0.008138521
2105,16.461946,16.291403,-0.037254192,0.36835498,-0.008288054
2125,16.645954,16.470922,-0.038234577,0.3724417,-0.00844336
2145,16.820986,16.645954,-0.038234577,0.3763771,-0.00859197
2165,16.996017,16.829962,-0.036273807,0.38041347,-0.008742378
2185,17.175537,17.004993,-0.037254192,0.38439953,-0.0088879885
2205,17.350569,17.184513,-0.036273807,0.38838547,-0.009035692
2225,17.534576,17.364033,-0.037254192,0.39247236,-0.0091869915
2245,17.709608,17.543552,-0.036273807,0.3964584,-0.009332617
2265,17.889128,17.723072,-0.036273807,0.40049493,-0.009479102
2285,18.06416,17.902592,-0.035293423,0.4044811,-0.009620819
2305,18.239191,18.077623,-0.035293423,0.40841687,-0.009759784
2325,18.41871,18.261631,-0.034313038,0.41250402,-0.009903136
2345,18.59374,18.436663,-0.034313038,0.4164399,-0.010038241
2365,18.77326,18.61618,-0.034313038,0.4204767,-0.0101768095
2385,18.95278,18.7957,-0.034313038,0.42451355,-0.010315379
2405,19.127811,18.970732,-0.034313038,0.42844945,-0.010450484
2425,19.307331,19.150251,-0.034313038,0.4324863,-0.010589054
2445,19.482363,19.320795,-0.035293423,0.43637168,-0.010723384
2465,19.661882,19.504803,-0.034313038,0.44045883,-0.010866688
2485,19.841402,19.679834,-0.035293423,0.44444507,-0.011006461
2505,20.016434,19.854866,-0.035293423,0.44838083,-0.011145426
2525,20.200441,20.034386,-0.036273807,0.45246792,-0.011290741
2545,20.370985,20.20493,-0.036273807,0.45630264,-0.011429901
2565,20.554993,20.388937,-0.036273807,0.4604401,-0.011580048
2585,20.730024,20.563969,-0.036273807,0.46437573,-0.01172287
2605,20.909544,20.739,-0.037254192,0.4683617,-0.01187046
2625,21.089064,20.91852,-0.037254192,0.47239816,-0.012018924
2645,21.264095,21.093552,-0.037254192,0.47633362,-0.012165605
2665,21.443615,21.273071,-0.037254192,0.48037,-0.012316047
2685,21.623135,21.45259,-0.037254192,0.4844063,-0.012468467
2705,21.798166,21.627623,-0.037254192,0.48834175,-0.012615148
2725,21.982174,21.81163,-0.037254192,0.49247903,-0.012769351
2745,22.152718,21.986662,-0.036273807,0.49636406,-0.0129131945
2765,22.336725,22.166182,-0.037254192,0.50045097,-0.013064494
2785,22.511757,22.345701,-0.036273807,0.50443697,-0.013212099
2805,22.686789,22.520733,-0.036273807,0.5083726,-0.013354921
2825,22.866308,22.700253,-0.036273807,0.51240915,-0.013501405
2845,23.04134,22.879772,-0.035293423,0.5163953,-0.0136451
2865,23.22086,23.059292,-0.035293423,0.52043194,-0.013787628
2885,23.395891,23.238811,-0.034313038,0.52441823,-0.013927417
2905,23.57541,23.418331,-0.034313038,0.528455,-0.0140659865
2925,23.75493,23.59785,-0.034313038,0.5324918,-0.014204556
2945,23.92996,23.772882,-0.034313038,0.5364277,-0.01433966
2965,24.10948,23.9524,-0.034313038,0.54046446,-0.014478229
2985,24.284512,24.127432,-0.034313038,0.5444003,-0.014615263
3005,24.464031,24.302464,-0.035293423,0.5483865,-0.014755037
3025,24.64355,24.477495,-0.036273807,0.5523727,-0.01489674
3045,24.818583,24.652527,-0.036273807,0.5563084,-0.0150376335
3065,24.998102,24.836535,-0.035293423,0.5603955,-0.0151829645
3085,25.173134,25.011566,-0.035293423,0.56433123,-0.015321929
3105,25.352654,25.191086,-0.035293423,0.5683679,-0.015464457
3125,25.532173,25.370605,-0.035293423,0.57240456,-0.0156069845
3145,25.702717,25.54115,-0.035293423,0.5762394,-0.015742384
3165,25.886724,25.725157,-0.035293423,0.580377,-0.015888473
3185,26.061756,25.900188,-0.035293423,0.58431274,-0.016027436
3205,26.236788,26.07522,-0.035293423,0.58824843,-0.01616833
3225,26.420795,26.25474,-0.036273807,0.5923355,-0.016313596
3245,26.595827,26.429771,-0.036273807,0.59627116,-0.01645642
3265,26.775347,26.609291,-0.036273807,0.6003077,-0.016602905
3285,26.954866,26.784323,-0.037254192,0.6042937,-0.016748518
3305,27.129898,26.963842,-0.036273807,0.6082797,-0.016896121
3325,27.313906,27.143362,-0.037254192,0.61236656,-0.017047422
3345,27.488937,27.318394,-0.037254192,0.6163021,-0.017194103
3365,27.668457,27.497913,-0.037254192,0.6203385,-0.017344546
3385,27.847977,27.672945,-0.038234577,0.6243244,-0.017494064
3405,28.023008,27.852465,-0.037254192,0.6283103,-0.017643597
3425,28.202528,28.031984,-0.037254192,0.63234675,-0.01779404
3445,28.373072,28.207016,-0.036273807,0.6362319,-0.017936002
3465,28.55708,28.386536,-0.037254192,0.64031875,-0.018087303
3485,28.732111,28.561567,-0.037254192,0.64425427,-0.018233985
3505,28.907143,28.741087,-0.036273807,0.6482403,-0.01837961
3525,29.086662,28.920607,-0.036273807,0.65227675,-0.018528072
3545,29.261692,29.09115,-0.03725378,0.6561618,-0.018671898
3565,29.441212,29.275156,-0.03627339,0.66024864,-0.018823212
3585,29.620731,29.450188,-0.037253775,0.66423464,-0.01896882
3605,29.795763,29.629707,-0.03627339,0.6682207,-0.019114444
3625,29.97977,29.813715,-0.03627339,0.67235816,-0.019264588
3645,30.154802,29.984259,-0.037253775,0.67624325,-0.019406535
3665,30.334322,30.168266,-0.03627339,0.68033016,-0.01955785
3685,30.509354,30.347786,-0.035293005,0.6843163,-0.019701544
3705,30.684385,30.522818,-0.035293005,0.68825215,-0.019838577
3725,30.863905,30.706825,-0.03431262,0.6923394,-0.0199799
3745,31.038937,30.881857,-0.03431262,0.6962753,-0.020115005
3765,31.218456,31.065865,-0.033332236,0.7003626,-0.020254299
3785,31.393488,31.240896,-0.033332236,0.7042986,-0.020385543
3805,31.573008,31.415928,-0.03431262,0.708285,-0.020521408
3825,31.752527,31.599936,-0.033332236,0.71237236,-0.020658722
3845,31.927559,31.77048,-0.03431262,0.7162578,-0.020791123
3865,32.10708,31.949999,-0.03431262,0.7202946,-0.020929692
3885,32.2866,32.129517,-0.03431262,0.7243314,-0.02106826
3905,32.461628,32.30455,-0.03431262,0.72826725,-0.021203365
3925,32.641148,32.48407,-0.03431262,0.73230404,-0.021341935
3945,32.81618,32.6591,-0.03431345,0.73623985,-0.021478968
3965,32.9957,32.83862,-0.03431345,0.74027663,-0.021617537
3985,33.17522,33.013653,-0.035293423,0.74426293,-0.021755334
4005,33.35474,33.188683,-0.036274225,0.74824905,-0.021897085
4025,33.53426,33.368202,-0.036274225,0.7522856,-0.02204357
4045,33.70929,33.543236,-0.036274225,0.75622123,-0.022186395
4065,33.88881,33.722755,-0.036274225,0.7602578,-0.02233288
4085,34.06833,33.897785,-0.037255026,0.7642437,-0.022480423
4105,34.243362,34.07282,-0.037255026,0.7681792,-0.022629037
4125,34.42737,34.25234,-0.038234998,0.77226585,-0.022784347
4145,34.59791,34.42737,-0.037255026,0.7761508,-0.022930121
4165,34.77743,34.606888,-0.037255026,0.78018725,-0.023080567
4185,34.95695,34.786407,-0.037255026,0.7842237,-0.023231013
4205,35.131985,34.96144,-0.037255026,0.7881592,-0.023377698
4225,35.311504,35.14096,-0.037255026,0.7921956,-0.023528144
4245,35.486534,35.31599,-0.037255026,0.7961311,-0.023674827
4265,35.666054,35.49551,-0.037255026,0.8001675,-0.023825273
4285,35.841087,35.67503,-0.036275055,0.80415356,-0.023972882
4305,36.020607,35.850063,-0.037255026,0.80813956,-0.024120476
4325,36.200127,36.029583,-0.037255026,0.812176,-0.024270922
4345,36.375156,36.204613,-0.037255026,0.81611145,-0.024417603
4365,36.554676,36.388622,-0.036274225,0.8201984,-0.024568925
4385,36.734196,36.559166,-0.038234998,0.824134,-0.024713613
4405,36.90923,36.738686,-0.037255026,0.82811993,-0.02486315
4425,37.08875,36.918205,-0.037255026,0.83215636,-0.025013596
4445,37.26378,37.093235,-0.037255026,0.8360919,-0.02515835
4465,37.4433,37.27724,-0.036275055,0.84017885,-0.02530769
4485,37.61833,37.452274,-0.036275055,0.8441145,-0.025450518
4505,37.79336,37.631794,-0.035295084,0.84810066,-0.02559422
4525,37.977367,37.811314,-0.036275055,0.85218763,-0.025741518
4545,38.14791,37.986343,-0.035295084,0.85607284,-0.025881603
4565,38.33192,38.165863,-0.036275886,0.86015993,-0.026026925
4585,38.50695,38.345383,-0.035295084,0.86414605,-0.026170628
4605,38.681984,38.524902,-0.034315113,0.86813235,-0.026310423
4625,38.86599,38.704422,-0.035295084,0.87221944,-0.026453717
4645,39.041023,38.879456,-0.035295084,0.8761553,-0.02659076
4665,39.220543,39.06346,-0.034315113,0.8802425,-0.02673209
4685,39.395573,39.238495,-0.034315113,0.8841784,-0.026867203
4705,39.575092,39.413525,-0.035295915,0.88816464,-0.027005006
4725,39.754612,39.593044,-0.035295915,0.8922013,-0.027147543
4745,39.929646,39.768078,-0.035295915,0.8961371,-0.027286518
4765,40.109165,39.947598,-0.035295915,0.9001738,-0.027429055
4785,40.288685,40.122627,-0.036276717,0.9041599,-0.027570767
4805,40.468204,40.29766,-0.037256688,0.90814596,-0.027716292
4825,40.647724,40.47269,-0.03823749,0.91213185,-0.027865821
4845,40.822754,40.647724,-0.03823749,0.9160672,-0.028016372
4865,41.002274,40.827244,-0.03823749,0.9201034,-0.028170781
4885,41.177307,41.002274,-0.03823749,0.9240387,-0.028321331
